标准答案,用户outcome抽取方式,topic,,,,,,
gs-useranswer-df,oc-useranswer,5,0.911259793,6.56E-12,-0.056542511,0.770798889,-0.135372216,0.483822207
gs-useranswer-ndf,oc-useranswer,5,0.909894089,8.00E-12,-0.073800087,0.7036014,-0.135372216,0.483822207
gs-fixedresult-df,oc-useranswer,5,0.907322966,1.15E-11,-0.060699964,0.754440736,-0.135372216,0.483822207
gs-clickedresult-df,oc-useranswer,5,0.906975159,1.21E-11,-0.059529611,0.759035515,-0.135372216,0.483822207
gs-fixedresult-ndf,oc-useranswer,5,0.902824596,2.12E-11,-0.068707179,0.723231609,-0.135372216,0.483822207
gs-clickedresult-ndf,oc-useranswer,5,0.901936411,2.39E-11,-0.068839397,0.722719746,-0.135372216,0.483822207
gs-manual,oc-useranswer,5,0.878855359,3.60E-10,-0.001150468,0.995274217,-0.135372216,0.483822207
gs-manual,oc-useranswer,9,0.821568673,4.69E-08,-0.036928723,0.849164782,-0.121192127,0.531153062
gs-fixedresult-ndf,oc-useranswer,9,0.809578397,1.05E-07,-0.045634121,0.814162364,-0.121192127,0.531153062
gs-fixedresult-df,oc-useranswer,9,0.807777349,1.18E-07,-0.04277308,0.825630805,-0.121192127,0.531153062
gs-clickedresult-ndf,oc-useranswer,9,0.807721456,1.18E-07,-0.046100679,0.812295668,-0.121192127,0.531153062
gs-clickedresult-df,oc-useranswer,9,0.80728878,1.21E-07,-0.04273243,0.825794011,-0.121192127,0.531153062
gs-useranswer-ndf,oc-useranswer,9,0.799789523,1.94E-07,-0.043548562,0.822518724,-0.121192127,0.531153062
gs-useranswer-df,oc-useranswer,9,0.796295418,2.39E-07,-0.049658564,0.798094346,-0.121192127,0.531153062
gs-manual,oc-useranswer,4,0.789331131,3.60E-07,0.131460091,0.496660582,-0.023989966,0.901691599
gs-manual,oc-useranswer,3,0.773735649,8.54E-07,-0.21210822,0.269323521,-0.234550121,0.220686723
gs-clickedresult-df,oc-useranswer,3,0.770892592,9.92E-07,-0.202791055,0.291407914,-0.234550121,0.220686723
gs-fixedresult-df,oc-useranswer,3,0.769390067,1.07E-06,-0.203731517,0.289128145,-0.234550121,0.220686723
gs-clickedresult-ndf,oc-useranswer,3,0.768556047,1.12E-06,-0.206521502,0.282431816,-0.234550121,0.220686723
gs-fixedresult-ndf,oc-useranswer,3,0.767143886,1.21E-06,-0.209617682,0.275117645,-0.234550121,0.220686723
gs-fixedresult-ndf,oc-useranswer,4,0.730909556,6.71E-06,0.183344391,0.341090542,-0.023989966,0.901691599
gs-clickedresult-ndf,oc-useranswer,4,0.726456503,8.13E-06,0.201517913,0.294512238,-0.023989966,0.901691599
gs-fixedresult-df,oc-useranswer,4,0.724303922,8.91E-06,0.196203181,0.307696086,-0.023989966,0.901691599
gs-clickedresult-df,oc-useranswer,4,0.723457938,9.23E-06,0.196902672,0.305940191,-0.023989966,0.901691599
gs-manual,oc-useranswer,6,0.719097147,1.11E-05,0.231666924,0.22657743,0.280597071,0.140373638
gs-useranswer-ndf,oc-useranswer,4,0.71712796,1.20E-05,0.169862312,0.378357689,-0.023989966,0.901691599
gs-manual,oc-useranswer,2,0.706094502,1.87E-05,0.026809847,0.890201457,-0.004482394,0.98158909
gs-fixedresult-df,oc-useranswer,2,0.690722816,3.36E-05,0.034853137,0.857554418,-0.004482394,0.98158909
gs-clickedresult-df,oc-useranswer,2,0.690577735,3.38E-05,0.034866322,0.85750107,-0.004482394,0.98158909
gs-clickedresult-ndf,oc-useranswer,2,0.686177702,3.97E-05,0.025463118,0.89568639,-0.004482394,0.98158909
gs-fixedresult-ndf,oc-useranswer,2,0.68454081,4.21E-05,0.022569346,0.907487699,-0.004482394,0.98158909
gs-useranswer-df,oc-useranswer,4,0.676870192,5.53E-05,0.26026388,0.172710008,-0.023989966,0.901691599
gs-useranswer-df,oc-useranswer,8,0.653631516,0.000120593,0.300603075,0.113082674,0.328992026,0.081398566
gs-fixedresult-ndf,oc-useranswer,8,0.651938396,0.000127316,0.284417887,0.134824431,0.328992026,0.081398566
gs-clickedresult-ndf,oc-useranswer,8,0.651857102,0.000127647,0.282938179,0.136954205,0.328992026,0.081398566
